id	Level	LFC	qval	SE	sType	Species
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	Burn	5.16042123546122	1.22072464210292E-08	0.810288940361032	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter	Burn	4.12895519343646	0.000140338356239039	0.873844379458161	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter	Burn	3.01324305081423	0.0229828209457668	0.856346954876047	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella	Burn	-2.80299159512844	2.0883485971309E-08	0.446102602058066	RhS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Mesorhizobium	Burn	1.55948519239467	6.38648347781077E-05	0.319187035183757	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leifsonia	Burn	3.26303457025834	0.0303137661459995	0.948715877361754	RhS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea	Burn	2.72294621847432	0.0469215196849542	0.823049376040761	RhS	L_serriola
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga	Burn	-3.52284046273826	1.84090642986769E-09	0.528484114457322	Rt	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	Burn	3.30126435901076	0.0235339266791459	0.930035765150006	Rt	L_serriola
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	Burn	-1.45800837328643	0.0252811748898727	0.413462756277766	Rt	L_serriola
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-1.96318013453814	0.014492693624327	0.532964278558405	Rt	L_serriola
